compress_tiledb_array,column_partitions,do_ping_pong_buffering,num_parallel_vcf_files,size_per_column_partition,num_cells_per_tile,segment_size,Volunteer Context Switch,Involunteer Context Switch,Exit Code,Wall Clock (sec),CPU %,Minor Page Fault,File System Output,Command,Major Page Fault,File System Input,Fetch from VCF_Wall-clock time(s),Fetch from VCF_Cpu time(s),Fetch from VCF_Critical path wall-clock time(s),Fetch from VCF_Critical path Cpu time(s),Fetch from VCF_#critical path,Combining Cells_Wall-clock time(s),Combining Cells_Cpu time(s),Combining Cells_Critical path wall-clock time(s),Combining Cells_Critical path Cpu time(s),Combining Cells_#critical path,Flush Output_Wall-clock time(s),Flush Output_Cpu time(s),Flush Output_Critical path wall-clock time(s),Flush Output_Critical path Cpu time(s),Flush Output_#critical path,sections time_Wall-clock time(s),sections time_Cpu time(s),sections time_Critical path wall-clock time(s),sections time_Critical path Cpu time(s),sections time_#critical path,time in single thread phase()_Wall-clock time(s),time in single thread phase()_Cpu time(s),time in single thread phase()_Critical path wall-clock time(s),time in single thread phase()_Critical path Cpu time(s),time in single thread phase()_#critical path,time in read_all()_Wall-clock time(s),time in read_all()_Cpu time(s),time in read_all()_Critical path wall-clock time(s),time in read_all()_Critical path Cpu time(s),time in read_all()_#critical path
true,16*,false,1,100,1000,10,134601,52632920,0,972.58,1543%,56280848,3624256,/opt/openmpi/bin/mpirun -np 16 /home/mingrutar/cppProjects/GenomicsDB/bin/vcf2tiledb /home/mingrutar/GenomicsDBPerfTest/prod/run_1703011923/6-bn16.json,232,72925,333.472,328.067,322.975,317.573,82759,578.045,574.108,506.184,502.276,3355,0,0,0,0,0,911.577,902.291,0,0,0,0.045098,0.0455328,0,0,0,911.688,902.402,0,0,0
true,16*,false,1,100,1000,10,134601,52632920,0,972.58,1543%,56280848,3624256,/opt/openmpi/bin/mpirun -np 16 /home/mingrutar/cppProjects/GenomicsDB/bin/vcf2tiledb /home/mingrutar/GenomicsDBPerfTest/prod/run_1703011923/6-bn16.json,232,72925,333.274,328.141,322.534,317.403,82690,579.821,575.424,507.623,503.248,3424,0,0,0,0,0,913.156,903.68,0,0,0,0.046659,0.0467993,0,0,0,913.269,903.792,0,0,0
true,16*,false,1,100,1000,10,134601,52632920,0,972.58,1543%,56280848,3624256,/opt/openmpi/bin/mpirun -np 16 /home/mingrutar/cppProjects/GenomicsDB/bin/vcf2tiledb /home/mingrutar/GenomicsDBPerfTest/prod/run_1703011923/6-bn16.json,232,72925,334.957,330.246,324.749,320.04,82865,579.243,574.938,507.423,503.142,3249,0,0,0,0,0,914.259,905.3,0,0,0,0.048053,0.0483445,0,0,0,914.375,905.415,0,0,0
true,16*,false,1,100,1000,10,134601,52632920,0,972.58,1543%,56280848,3624256,/opt/openmpi/bin/mpirun -np 16 /home/mingrutar/cppProjects/GenomicsDB/bin/vcf2tiledb /home/mingrutar/GenomicsDBPerfTest/prod/run_1703011923/6-bn16.json,232,72925,336.104,331.03,325.714,320.642,82819,578.985,574.386,506.661,502.083,3295,0,0,0,0,0,915.151,905.532,0,0,0,0.046116,0.046288,0,0,0,915.262,905.643,0,0,0
true,16*,false,1,100,1000,10,134601,52632920,0,972.58,1543%,56280848,3624256,/opt/openmpi/bin/mpirun -np 16 /home/mingrutar/cppProjects/GenomicsDB/bin/vcf2tiledb /home/mingrutar/GenomicsDBPerfTest/prod/run_1703011923/6-bn16.json,232,72925,336.292,330.999,325.818,320.527,82802,579.363,575.253,506.824,502.742,3312,0,0,0,0,0,915.716,906.371,0,0,0,0.047482,0.0480973,0,0,0,915.833,906.488,0,0,0
true,16*,false,1,100,1000,10,134601,52632920,0,972.58,1543%,56280848,3624256,/opt/openmpi/bin/mpirun -np 16 /home/mingrutar/cppProjects/GenomicsDB/bin/vcf2tiledb /home/mingrutar/GenomicsDBPerfTest/prod/run_1703011923/6-bn16.json,232,72925,334.745,329.819,323.633,318.709,82593,580.922,576.978,508.231,504.313,3521,0,0,0,0,0,915.726,906.918,0,0,0,0.048237,0.0488137,0,0,0,915.844,907.036,0,0,0
true,16*,false,1,100,1000,10,134601,52632920,0,972.58,1543%,56280848,3624256,/opt/openmpi/bin/mpirun -np 16 /home/mingrutar/cppProjects/GenomicsDB/bin/vcf2tiledb /home/mingrutar/GenomicsDBPerfTest/prod/run_1703011923/6-bn16.json,232,72925,336.393,331.928,326.407,321.944,82931,579.575,576.513,507.493,504.453,3183,0,0,0,0,0,916.027,908.553,0,0,0,0.045131,0.0455014,0,0,0,916.138,908.663,0,0,0
true,16*,false,1,100,1000,10,134601,52632920,0,972.58,1543%,56280848,3624256,/opt/openmpi/bin/mpirun -np 16 /home/mingrutar/cppProjects/GenomicsDB/bin/vcf2tiledb /home/mingrutar/GenomicsDBPerfTest/prod/run_1703011923/6-bn16.json,232,72925,333.087,328.063,322.461,317.439,82697,583.249,579.931,511.492,508.2,3417,0,0,0,0,0,916.399,908.119,0,0,0,0.048034,0.0481434,0,0,0,916.514,908.233,0,0,0
true,16*,false,1,100,1000,10,134601,52632920,0,972.58,1543%,56280848,3624256,/opt/openmpi/bin/mpirun -np 16 /home/mingrutar/cppProjects/GenomicsDB/bin/vcf2tiledb /home/mingrutar/GenomicsDBPerfTest/prod/run_1703011923/6-bn16.json,232,72925,335.912,331.572,325.425,321.087,82795,581.055,577.441,508.512,504.927,3319,0,0,0,0,0,917.028,909.142,0,0,0,0.048146,0.0482951,0,0,0,917.148,909.262,0,0,0
true,16*,false,1,100,1000,10,134601,52632920,0,972.58,1543%,56280848,3624256,/opt/openmpi/bin/mpirun -np 16 /home/mingrutar/cppProjects/GenomicsDB/bin/vcf2tiledb /home/mingrutar/GenomicsDBPerfTest/prod/run_1703011923/6-bn16.json,232,72925,333.677,328.375,322.642,317.342,82580,583.931,580.451,511.422,507.973,3534,0,0,0,0,0,917.67,908.945,0,0,0,0.048511,0.0490356,0,0,0,917.789,909.063,0,0,0
