Time,%CPU,CPU,%MEM,kB_rd/s,kB_wr/s,nvcswch/s
1488425016,1.16,17,0.00,2600.00,0.00,18.00
1488425017,1.34,16,0.00,856.00,0.00,9.00
1488425018,1.23,16,0.00,2096.00,0.00,20.00
1488425019,1.25,19,0.01,2488.00,0.00,33.00
1488425020,1.25,19,0.01,320.00,0.00,5.00
1488425021,1.25,18,0.01,2296.00,0.00,13.00
1488425022,1.21,18,0.01,1716.00,0.00,13.00
1488425023,1.20,19,0.01,2236.00,0.00,14.00
1488425024,1.32,16,0.01,568.00,0.00,5.00
1488425025,1.27,17,0.01,1940.00,0.00,12.00
1488425026,1.18,16,0.01,2000.00,0.00,22.00
1488425027,1.25,17,0.01,940.00,0.00,19.00
1488425028,1.39,16,0.01,1648.00,0.00,15.00
1488425029,1.11,16,0.01,1844.00,0.00,7.00
1488425030,1.18,16,0.01,1688.00,0.00,27.00
1488425031,1.32,0,0.01,1960.00,0.00,23.00
1488425032,1.21,16,0.02,2768.00,0.00,24.00
1488425033,1.25,18,0.01,0.00,0.00,11.00
1488425034,1.18,1,0.02,1184.00,0.00,23.00
1488425035,1.23,20,0.02,2660.00,0.00,21.00
1488425036,1.07,16,0.02,2704.00,0.00,10.00
1488425037,1.16,17,0.02,900.00,0.00,16.00
1488425038,1.21,16,0.02,2568.00,0.00,24.00
1488425039,1.23,16,0.02,1096.00,0.00,21.00
1488425040,1.34,17,0.02,3280.00,0.00,19.00
1488425041,1.20,16,0.02,2520.00,0.00,28.00
1488425042,1.16,16,0.02,1468.00,0.00,15.00
1488425043,1.18,19,0.02,1776.00,0.00,21.00
1488425044,1.27,19,0.02,804.00,0.00,17.00
1488425045,1.21,17,0.02,3272.00,0.00,29.00
1488425046,1.18,16,0.02,1884.00,0.00,10.00
1488425047,1.21,17,0.03,2256.00,0.00,22.00
1488425048,1.30,20,0.03,724.00,0.00,9.00
1488425049,1.32,18,0.03,2276.00,0.00,18.00
1488425050,1.21,19,0.03,1688.00,0.00,15.00
1488425051,1.27,18,0.03,1688.00,0.00,12.00
1488425052,1.30,19,0.03,2308.00,0.00,5.00
1488425053,1.21,18,0.03,1868.00,0.00,27.00
1488425054,1.16,16,0.03,2964.00,0.00,20.00
1488425055,1.11,17,0.03,1540.00,0.00,14.00
1488425056,1.30,18,0.03,1440.00,0.00,15.00
1488425057,1.16,16,0.03,1336.00,0.00,40.00
1488425058,1.27,18,0.03,1352.00,0.00,5.00
1488425059,1.30,16,0.03,1940.00,0.00,13.00
1488425060,1.23,0,0.03,3724.00,0.00,39.00
1488425061,1.32,19,0.03,1560.00,0.00,17.00
1488425062,1.25,17,0.04,984.00,0.00,23.00
1488425063,1.25,17,0.04,2860.00,0.00,8.00
1488425064,1.30,19,0.04,1140.00,0.00,18.00
1488425065,1.25,16,0.04,1984.00,0.00,11.00
1488425066,1.34,0,0.04,2484.00,0.00,23.00
1488425067,1.18,17,0.04,2092.00,0.00,17.00
1488425068,1.11,17,0.04,2708.00,0.00,28.00
1488425069,1.25,16,0.06,2044.00,0.00,22.00
