Time,%CPU,CPU,%MEM,kB_rd/s,kB_wr/s,nvcswch/s
1488425068,1.29,34,0.00,1100.99,0.00,12.87
1488425069,1.48,42,0.01,740.00,0.00,8.00
1488425070,1.73,29,0.01,1072.00,0.00,11.00
1488425071,1.64,25,0.01,608.00,0.00,6.00
1488425072,1.43,26,0.01,2388.00,0.00,25.00
1488425073,1.50,24,0.01,1452.00,0.00,14.00
1488425074,1.57,35,0.01,1892.00,0.00,21.00
1488425075,1.59,40,0.01,2428.00,0.00,16.00
1488425076,1.52,22,0.01,604.00,0.00,4.00
1488425077,1.50,24,0.01,1336.00,0.00,11.00
1488425078,1.55,27,0.01,3688.00,0.00,27.00
1488425079,1.52,31,0.02,1536.00,0.00,13.00
1488425080,1.57,25,0.02,72.00,0.00,2.00
1488425081,1.36,22,0.02,2032.00,0.00,22.00
1488425082,1.57,23,0.02,48.00,0.00,1.00
1488425083,1.55,36,0.02,272.00,0.00,3.00
1488425084,1.73,23,0.02,300.00,0.00,2.00
1488425085,1.52,24,0.02,912.00,0.00,8.00
1488425086,1.46,29,0.02,1328.00,0.00,14.00
1488425087,1.34,35,0.02,5624.00,0.00,44.00
1488425088,1.21,39,0.02,3460.00,0.00,28.00
1488425089,1.57,42,0.03,1196.00,0.00,8.00
1488425090,1.48,40,0.03,1076.00,0.00,9.00
1488425091,1.55,22,0.03,608.00,0.00,6.00
1488425092,1.59,23,0.03,300.00,0.00,2.00
1488425093,1.52,23,0.03,0.00,0.00,2.00
1488425094,1.50,24,0.03,1844.00,0.00,14.00
1488425095,1.50,22,0.03,1392.00,0.00,12.00
1488425096,1.73,41,0.03,264.00,0.00,3.00
1488425097,1.39,24,0.03,436.00,0.00,6.00
1488425098,1.66,30,0.04,368.00,0.00,2.00
1488425099,1.43,36,0.04,1500.00,0.00,12.00
1488425100,1.68,36,0.04,0.00,0.00,1.00
1488425101,1.46,37,0.04,2548.00,0.00,21.00
1488425102,1.34,23,0.04,1688.00,0.00,17.00
1488425103,1.96,24,0.20,0.00,0.00,0.00
1488425104,2.02,26,0.20,4.00,0.00,2.00
1488425105,2.02,28,0.20,0.00,0.00,1.00
1488425106,2.16,31,0.21,4.00,0.00,0.00
1488425107,2.18,31,0.21,0.00,0.00,0.00
1488425108,1.93,31,0.21,0.00,0.00,0.00
1488425109,2.07,31,0.21,0.00,0.00,0.00
1488425110,2.02,31,0.21,0.00,0.00,0.00
1488425111,2.00,31,0.22,0.00,0.00,0.00
1488425112,2.05,31,0.22,0.00,0.00,1.00
1488425113,2.07,31,0.22,0.00,0.00,0.00
1488425114,2.07,31,0.22,0.00,0.00,1.00
1488425115,2.07,31,0.22,0.00,0.00,0.00
1488425116,2.05,31,0.22,0.00,0.00,1.00
1488425117,2.05,31,0.22,0.00,0.00,0.00
1488425118,2.09,31,0.23,0.00,0.00,1.00
1488425119,2.05,31,0.23,0.00,0.00,0.00
1488425120,2.05,31,0.23,0.00,0.00,0.00
1488425121,2.02,31,0.23,0.00,0.00,0.00
1488425122,2.05,31,0.23,0.00,0.00,0.00
1488425123,2.02,31,0.23,0.00,0.00,0.00
1488425124,2.12,31,0.23,0.00,0.00,0.00
1488425125,2.05,31,0.23,0.00,0.00,0.00
1488425126,2.05,31,0.24,0.00,0.00,0.00
1488425127,2.05,31,0.24,0.00,0.00,1.00
1488425128,2.07,31,0.24,0.00,0.00,0.00
1488425129,2.09,31,0.24,0.00,0.00,2.00
1488425130,2.11,31,0.24,0.00,0.00,1.00
1488425131,2.02,31,0.24,0.00,0.00,1.00
1488425132,2.02,31,0.24,0.00,0.00,0.00
1488425133,2.07,31,0.25,0.00,0.00,1.00
1488425134,2.07,31,0.25,0.00,0.00,0.00
1488425135,2.07,31,0.25,0.00,0.00,1.00
1488425136,2.07,31,0.25,0.00,0.00,0.00
1488425137,2.04,31,0.25,0.00,0.00,1.00
1488425138,2.09,31,0.26,0.00,0.00,1.00
1488425139,2.05,31,0.26,0.00,0.00,0.00
1488425140,2.05,31,0.26,0.00,0.00,1.00
1488425141,2.07,31,0.26,0.00,0.00,0.00
1488425142,2.07,31,0.26,0.00,0.00,0.00
1488425143,2.09,31,0.26,0.00,0.00,0.00
1488425144,2.05,31,0.26,0.00,0.00,0.00
1488425145,2.07,31,0.27,0.00,0.00,0.00
1488425146,2.07,31,0.27,0.00,0.00,0.00
1488425147,2.04,31,0.27,0.00,0.00,0.00
1488425148,2.05,31,0.27,0.00,0.00,0.00
1488425149,2.02,31,0.27,0.00,0.00,0.00
1488425150,2.05,31,0.27,0.00,0.00,0.00
1488425151,2.05,31,0.27,0.00,0.00,0.00
1488425152,2.09,31,0.28,0.00,0.00,0.00
1488425153,2.27,31,0.28,0.00,2272.00,0.00
1488425154,2.27,31,0.28,0.00,3064.00,31.00
1488425155,2.25,31,0.28,0.00,3004.00,14.00
1488425156,2.30,31,0.28,0.00,1912.00,0.00
1488425157,2.27,31,0.28,0.00,0.00,0.00
1488425158,2.27,31,0.28,0.00,1012.00,0.00
1488425159,2.27,31,0.28,0.00,2440.00,22.00
1488425160,2.27,31,0.28,0.00,3072.00,23.00
1488425161,2.25,31,0.28,0.00,3940.00,2.00
1488425162,2.27,31,0.28,0.00,0.00,0.00
1488425163,2.30,31,0.28,0.00,0.00,0.00
1488425164,2.27,31,0.28,0.00,604.00,0.00
1488425165,2.25,31,0.28,0.00,2576.00,7.00
1488425166,2.29,31,0.28,0.00,3208.00,24.00
1488425167,2.27,31,0.28,0.00,3744.00,11.00
1488425168,2.27,31,0.28,0.00,348.00,0.00
1488425169,2.25,31,0.28,0.00,516.00,0.00
1488425170,2.30,31,0.28,0.00,2620.00,6.00
1488425171,2.25,31,0.28,0.00,3176.00,20.00
1488425172,2.27,31,0.28,0.00,3720.00,11.00
1488425173,2.30,31,0.28,0.00,312.00,0.00
1488425174,2.27,31,0.28,0.00,0.00,0.00
1488425175,2.27,31,0.28,0.00,1080.00,0.00
1488425176,2.27,31,0.28,0.00,2344.00,20.00
1488425177,2.27,31,0.28,0.00,3224.00,15.00
1488425178,2.27,31,0.28,0.00,3652.00,0.00
1488425179,2.27,31,0.28,0.00,0.00,0.00
1488425180,2.25,31,0.28,0.00,0.00,0.00
1488425181,2.30,31,0.28,0.00,2112.00,0.00
1488425182,2.25,31,0.28,0.00,3060.00,25.00
1488425183,2.27,31,0.28,0.00,3196.00,13.00
1488425184,2.27,31,0.28,0.00,1992.00,1.00
1488425185,2.30,31,0.28,0.00,0.00,1.00
1488425186,2.25,31,0.28,0.00,432.00,1.00
1488425187,2.30,31,0.28,0.00,2672.00,4.00
1488425188,2.25,31,0.28,0.00,3116.00,26.00
1488425189,2.30,31,0.28,0.00,3812.00,12.00
1488425190,2.27,31,0.28,0.00,140.00,0.00
1488425191,2.27,31,0.28,0.00,0.00,1.00
1488425192,2.25,31,0.28,0.00,2048.00,0.00
1488425193,2.30,31,0.28,0.00,3292.00,30.00
1488425194,2.25,31,0.28,0.00,3228.00,16.00
1488425195,2.30,31,0.28,0.00,2296.00,1.00
1488425196,2.25,31,0.28,0.00,0.00,1.00
1488425197,2.30,31,0.28,0.00,0.00,1.00
1488425198,2.27,31,0.28,0.00,2724.00,0.00
1488425199,2.27,31,0.28,0.00,3296.00,29.00
