Time,%CPU,CPU,%MEM,kB_rd/s,kB_wr/s,nvcswch/s
1488407625,1.20,25,0.00,11824.00,0.00,106.00
1488407626,1.23,25,0.00,12060.00,0.00,110.00
1488407627,1.23,25,0.00,11864.00,0.00,110.00
1488407628,1.27,26,0.01,11860.00,0.00,107.00
1488407629,1.16,26,0.01,12508.00,0.00,109.00
1488407630,1.25,26,0.01,11832.00,0.00,109.00
1488407631,1.23,27,0.01,11672.00,0.00,113.00
1488407632,1.25,27,0.01,12672.00,0.00,116.00
1488407633,1.23,27,0.01,11900.00,0.00,111.00
1488407634,1.27,27,0.01,12528.00,0.00,121.00
1488407635,1.20,27,0.01,11408.00,0.00,107.00
1488407636,1.23,27,0.01,11656.00,0.00,108.00
1488407637,1.34,29,0.01,12544.00,0.00,117.00
1488407638,1.32,29,0.01,11832.00,0.00,109.00
1488407639,1.20,29,0.01,11812.00,0.00,108.00
1488407640,1.23,30,0.01,12552.00,0.00,110.00
1488407641,1.27,30,0.01,11836.00,0.00,113.00
1488407642,1.23,30,0.02,11828.00,0.00,107.00
1488407643,1.23,31,0.02,11140.00,0.00,103.00
1488407644,1.11,31,0.02,11832.00,0.00,108.00
1488407645,1.25,32,0.02,12664.00,0.00,112.00
1488407646,1.21,32,0.02,11788.00,0.00,108.00
1488407647,1.23,33,0.02,12484.00,0.00,117.00
1488407648,1.16,34,0.02,13224.00,0.00,113.00
1488407649,0.91,34,0.02,16216.00,0.00,133.00
1488407650,1.05,34,0.02,20880.00,0.00,167.00
1488407651,0.82,34,0.02,16464.00,0.00,128.00
1488407652,0.96,34,0.02,19136.00,0.00,150.00
1488407653,0.91,34,0.02,17360.00,0.00,136.00
1488407654,0.86,34,0.02,17804.00,0.00,152.00
1488407655,0.95,34,0.02,19000.00,0.00,156.00
1488407656,0.98,34,0.03,18848.00,0.00,151.00
1488407657,0.91,34,0.03,18224.00,0.00,150.00
1488407658,0.95,34,0.03,18608.00,0.00,144.00
1488407659,0.98,35,0.03,17140.00,0.00,142.00
1488407660,1.14,35,0.03,17636.00,0.00,143.00
1488407661,1.07,36,0.03,15216.00,0.00,128.00
1488407662,1.07,36,0.03,16080.00,0.00,128.00
1488407663,1.18,37,0.03,11948.00,0.00,103.00
1488407664,1.25,37,0.03,11632.00,0.00,113.00
1488407665,1.25,38,0.03,11904.00,0.00,111.00
1488407666,1.20,38,0.03,12696.00,0.00,118.00
1488407667,1.25,39,0.04,11876.00,0.00,109.00
1488407668,1.30,39,0.04,12900.00,0.00,118.00
1488407669,1.27,39,0.04,12232.00,0.00,118.00
1488407670,1.25,41,0.04,11780.00,0.00,108.00
1488407671,1.36,41,0.04,12680.00,0.00,120.00
1488407672,1.14,41,0.04,12692.00,0.00,117.00
1488407673,1.20,41,0.04,13060.00,0.00,116.00
1488407674,1.27,41,0.04,12696.00,0.00,118.00
1488407675,1.73,43,0.20,644.00,28.00,7.00
1488407676,1.91,43,0.20,100.00,0.00,0.00
1488407677,2.00,43,0.21,108.00,0.00,0.00
1488407678,1.95,43,0.21,108.00,0.00,0.00
1488407679,1.89,43,0.21,108.00,0.00,0.00
1488407680,1.86,43,0.21,104.00,0.00,1.00
1488407681,1.91,43,0.21,108.00,0.00,1.00
1488407682,1.98,43,0.22,112.00,0.00,0.00
1488407683,1.91,43,0.22,104.00,0.00,0.00
1488407684,1.93,43,0.22,108.00,0.00,1.00
1488407685,1.93,43,0.22,108.00,0.00,0.00
1488407686,1.95,43,0.23,112.00,0.00,0.00
1488407687,2.02,43,0.23,108.00,0.00,0.00
1488407688,1.89,43,0.23,108.00,0.00,0.00
1488407689,1.89,43,0.23,100.00,0.00,0.00
1488407690,1.93,43,0.23,108.00,0.00,1.00
1488407691,1.93,43,0.24,104.00,0.00,0.00
1488407692,1.93,43,0.24,108.00,0.00,0.00
1488407693,1.93,43,0.24,108.00,0.00,0.00
1488407694,1.95,43,0.24,104.00,0.00,0.00
1488407695,2.00,43,0.24,112.00,0.00,0.00
1488407696,1.91,43,0.25,104.00,0.00,1.00
1488407697,1.93,43,0.25,104.00,0.00,0.00
1488407698,1.89,43,0.25,104.00,0.00,0.00
1488407699,1.95,43,0.25,108.00,0.00,0.00
1488407700,1.91,43,0.25,104.00,0.00,0.00
1488407701,1.93,43,0.26,108.00,0.00,0.00
1488407702,1.95,43,0.26,108.00,0.00,1.00
1488407703,1.93,43,0.26,104.00,0.00,0.00
1488407704,1.95,43,0.26,108.00,0.00,0.00
1488407705,1.95,43,0.26,108.00,0.00,0.00
1488407706,1.89,43,0.27,104.00,0.00,0.00
1488407707,1.93,43,0.27,104.00,0.00,0.00
1488407708,1.98,43,0.27,108.00,0.00,1.00
1488407709,1.95,43,0.27,104.00,0.00,0.00
1488407710,1.93,43,0.27,108.00,0.00,0.00
1488407711,1.89,43,0.28,100.00,0.00,0.00
1488407712,1.95,43,0.28,112.00,0.00,0.00
1488407713,2.14,43,0.28,36.00,936.00,0.00
1488407714,2.27,43,0.28,0.00,3396.00,36.00
1488407715,2.30,43,0.28,0.00,4120.00,5.00
1488407716,2.27,43,0.28,0.00,1800.00,0.00
1488407717,2.25,43,0.28,0.00,0.00,0.00
1488407718,2.27,43,0.28,0.00,2744.00,0.00
1488407719,2.30,43,0.28,0.00,3772.00,39.00
1488407720,2.25,43,0.28,0.00,3988.00,3.00
1488407721,2.27,43,0.28,0.00,0.00,0.00
1488407722,2.27,43,0.28,0.00,0.00,0.00
1488407723,2.30,43,0.28,0.00,2816.00,0.00
1488407724,2.27,43,0.28,0.00,3607.92,43.56
1488407725,2.25,43,0.28,128.00,3984.00,2.00
1488407726,2.30,43,0.28,4352.00,0.00,22.00
1488407727,2.27,43,0.28,2048.00,2544.00,16.00
1488407728,2.25,16,0.28,0.00,3452.00,36.00
1488407729,2.30,16,0.28,0.00,3660.00,0.00
1488407730,2.25,16,0.28,4352.00,688.00,31.00
1488407731,2.27,16,0.28,9088.00,0.00,43.00
1488407732,2.30,16,0.28,5504.00,2020.00,24.00
1488407733,2.25,16,0.28,0.00,3704.00,39.00
1488407734,2.30,16,0.28,0.00,4496.00,6.00
1488407735,2.27,16,0.28,12800.00,80.00,34.00
1488407736,2.25,16,0.28,15232.00,0.00,37.00
1488407737,2.27,16,0.28,2048.00,2952.00,8.00
1488407738,2.27,16,0.28,0.00,3692.00,51.00
1488407739,2.30,16,0.28,3200.00,3716.00,14.00
1488407740,2.25,16,0.28,16512.00,0.00,27.00
1488407741,2.27,16,0.28,15872.00,472.00,23.00
1488407742,2.27,16,0.28,0.00,3336.00,35.00
1488407743,2.27,16,0.28,0.00,4112.00,6.00
1488407744,2.27,16,0.28,7296.00,2252.00,13.00
1488407745,2.27,16,0.28,12288.00,0.00,36.00
1488407746,2.27,16,0.28,4224.00,1888.00,22.00
1488407747,2.27,16,0.28,0.00,3924.00,31.00
1488407748,2.27,16,0.28,0.00,4256.00,7.00
1488407749,2.27,16,0.28,7168.00,736.00,31.00
1488407750,2.27,16,0.28,3968.00,0.00,27.00
1488407751,2.27,16,0.28,640.00,2228.00,6.00
1488407752,2.27,16,0.28,0.00,3856.00,29.00
1488407753,2.27,16,0.28,0.00,4480.00,5.00
1488407754,2.27,16,0.28,1536.00,124.00,12.00
1488407755,2.27,16,0.28,256.00,0.00,3.00
1488407756,2.27,16,0.28,0.00,3096.00,6.00
1488407757,2.27,16,0.28,0.00,4168.00,30.00
1488407758,2.27,16,0.28,256.00,3748.00,2.00
1488407759,2.27,16,0.28,768.00,0.00,9.00
1488407760,2.27,16,0.28,384.00,792.00,3.00
1488407761,2.27,16,0.28,0.00,3328.00,30.00
1488407762,2.27,16,0.28,0.00,4144.00,5.00
1488407763,2.30,16,0.28,384.00,2052.00,3.00
1488407764,2.27,16,0.28,896.00,0.00,8.00
1488407765,2.27,16,0.28,512.00,1988.00,6.00
1488407766,2.25,16,0.28,0.00,3588.00,34.00
1488407767,2.27,16,0.28,0.00,4368.00,5.00
1488407768,2.27,16,0.28,3456.00,252.00,21.00
1488407769,2.27,16,0.28,4096.00,0.00,24.00
1488407770,2.27,16,0.28,1024.00,2808.00,10.00
1488407771,2.27,16,0.28,0.00,3736.00,39.00
1488407772,2.27,16,0.28,768.00,4016.00,6.00
1488407773,2.27,16,0.28,3328.00,0.00,21.00
1488407774,2.27,16,0.28,4352.00,524.00,31.00
1488407775,2.27,16,0.28,0.00,3336.00,37.00
1488407776,2.27,16,0.28,0.00,4076.00,3.00
1488407777,2.25,16,0.28,2304.00,2496.00,16.00
1488407778,2.29,16,0.28,5632.00,0.00,33.00
1488407779,2.25,16,0.28,6272.00,1496.00,28.00
1488407780,2.30,16,0.28,0.00,3792.00,31.00
1488407781,2.25,16,0.28,0.00,4088.00,3.00
1488407782,2.30,16,0.28,7552.00,1224.00,33.00
1488407783,2.25,16,0.28,10496.00,0.00,36.00
1488407784,2.30,16,0.28,3712.00,2328.00,18.00
1488407785,2.27,16,0.28,0.00,3992.00,34.00
1488407786,2.25,16,0.28,640.00,4464.00,7.00
1488407787,2.27,16,0.28,11648.00,0.00,31.00
1488407788,2.27,16,0.28,9088.00,0.00,37.00
1488407789,2.27,16,0.28,512.00,3308.00,23.00
1488407790,2.25,16,0.28,0.00,4024.00,27.00
1488407791,2.30,16,0.28,3968.00,3112.00,11.00
1488407792,2.27,16,0.28,9088.00,0.00,40.00
1488407793,2.27,16,0.28,4864.00,1248.00,30.00
1488407794,2.27,16,0.28,0.00,3660.00,37.00
1488407795,2.27,16,0.28,0.00,4192.00,5.00
1488407796,2.27,16,0.28,3968.00,1412.00,19.00
1488407797,2.27,16,0.28,5632.00,0.00,32.00
1488407798,2.25,16,0.28,2432.00,2416.00,14.00
1488407799,2.29,16,0.28,0.00,3680.00,34.00
1488407800,2.25,16,0.28,896.00,3992.00,9.00
1488407801,2.29,16,0.28,3840.00,0.00,29.00
1488407802,2.25,16,0.28,3328.00,0.00,19.00
1488407803,2.30,16,0.28,128.00,3344.00,22.00
1488407804,2.27,16,0.28,0.00,4076.00,19.00
1488407805,2.25,16,0.28,2304.00,2912.00,13.00
1488407806,2.30,16,0.28,2304.00,0.00,18.00
1488407807,2.27,16,0.28,768.00,1528.00,6.00
1488407808,2.25,16,0.28,0.00,4004.00,36.00
1488407809,2.27,16,0.28,0.00,4216.00,0.00
1488407810,2.27,16,0.28,1408.00,920.00,9.00
1488407811,2.27,16,0.28,1408.00,0.00,11.00
1488407812,2.27,16,0.28,768.00,2452.00,6.00
1488407813,2.27,16,0.28,0.00,3832.00,40.00
1488407814,2.27,16,0.28,256.00,4068.00,5.00
1488407815,2.27,16,0.28,768.00,0.00,6.00
1488407816,2.27,16,0.28,1024.00,0.00,7.00
1488407817,2.27,16,0.28,0.00,3440.00,28.00
1488407818,2.27,16,0.28,0.00,4180.00,10.00
1488407819,2.27,16,0.28,384.00,2868.00,3.00
1488407820,2.27,16,0.28,512.00,0.00,5.00
1488407821,2.25,16,0.28,384.00,1700.00,3.00
1488407822,2.27,16,0.28,0.00,3884.00,32.00
1488407823,2.30,16,0.28,0.00,4392.00,8.00
1488407824,2.27,16,0.28,384.00,384.00,3.00
1488407825,2.27,16,0.28,256.00,0.00,2.00
1488407826,2.27,16,0.28,256.00,2840.00,3.00
1488407827,2.27,16,0.28,0.00,3844.00,38.00
1488407828,2.27,16,0.28,0.00,3980.00,4.00
1488407829,2.27,16,0.28,256.00,0.00,2.00
1488407830,2.27,16,0.28,128.00,1028.00,1.00
1488407831,2.27,16,0.28,0.00,3528.00,37.00
1488407832,2.27,16,0.28,0.00,4216.00,3.00
1488407833,2.27,16,0.28,128.00,1640.00,5.00
1488407834,2.27,16,0.28,640.00,0.00,6.00
1488407835,2.27,16,0.28,128.00,2488.00,1.00
1488407836,2.27,16,0.28,0.00,3820.00,31.00
1488407837,2.27,16,0.28,0.00,4156.00,3.00
1488407838,2.25,16,0.28,768.00,0.00,10.00
1488407839,2.30,16,0.28,1280.00,236.00,10.00
1488407840,2.27,16,0.28,0.00,3416.00,33.00
1488407841,2.27,16,0.28,0.00,4260.00,3.00
1488407842,2.27,16,0.28,896.00,2568.00,6.00
1488407843,2.27,16,0.28,1280.00,0.00,9.00
1488407844,2.25,16,0.28,640.00,1736.00,10.00
1488407845,2.29,16,0.28,0.00,3808.00,31.00
1488407846,2.25,16,0.28,0.00,4484.00,4.00
1488407847,2.27,16,0.28,1536.00,260.00,13.00
1488407848,2.30,16,0.28,1536.00,0.00,12.00
1488407849,2.27,16,0.28,512.00,2636.00,8.00
1488407850,2.27,16,0.28,0.00,4980.00,14.00
1488407851,2.27,16,0.28,0.00,4904.00,4.00
1488407852,2.27,16,0.28,1920.00,88.00,14.00
1488407853,2.27,16,0.28,2176.00,0.00,15.00
1488407854,2.25,16,0.28,128.00,3884.00,25.00
1488407855,2.30,16,0.28,0.00,4248.00,9.00
1488407856,2.27,16,0.28,1408.00,2796.00,7.00
1488407857,2.27,16,0.28,1920.00,0.00,14.00
1488407858,2.27,16,0.28,1536.00,1840.00,10.00
1488407859,2.27,16,0.28,0.00,3788.00,34.00
1488407860,2.25,16,0.28,0.00,4424.00,6.00
1488407861,2.27,16,0.28,2304.00,460.00,16.00
1488407862,2.30,16,0.28,3968.00,0.00,24.00
1488407863,2.27,16,0.28,256.00,3388.00,13.00
1488407864,2.27,16,0.28,0.00,4140.00,25.00
1488407865,2.25,16,0.28,1792.00,3176.00,12.00
1488407866,2.29,16,0.28,5248.00,0.00,28.00
1488407867,2.27,16,0.28,4096.00,1432.00,24.00
1488407868,2.27,16,0.28,0.00,3764.00,35.00
1488407869,2.27,16,0.28,0.00,4268.00,7.00
1488407870,2.25,16,0.28,3968.00,1116.00,24.00
1488407871,2.30,16,0.28,7296.00,0.00,42.00
1488407872,2.25,16,0.28,1664.00,2696.00,8.00
1488407873,2.30,16,0.28,0.00,4544.00,23.00
1488407874,2.25,16,0.28,887.13,4289.11,4.95
1488407875,2.27,16,0.28,7680.00,0.00,34.00
1488407876,2.29,16,0.28,6272.00,0.00,30.00
1488407877,2.25,16,0.28,1024.00,3220.00,14.00
1488407878,2.27,16,0.28,0.00,4156.00,25.00
1488407879,2.30,16,0.28,2432.00,3356.00,15.00
1488407880,2.25,16,0.28,5376.00,0.00,38.00
1488407881,2.27,16,0.28,4864.00,672.00,27.00
1488407882,2.27,16,0.28,0.00,4464.00,11.00
1488407883,2.30,16,0.28,0.00,4352.00,1.00
1488407884,2.27,16,0.28,1664.00,3740.00,12.00
1488407885,2.27,16,0.28,4992.00,0.00,31.00
1488407886,2.27,16,0.28,3200.00,1020.00,23.00
1488407887,2.25,16,0.28,0.00,4124.00,26.00
1488407888,2.27,16,0.28,0.00,4384.00,5.00
1488407889,2.27,16,0.28,2048.00,2384.00,15.00
1488407890,2.29,16,0.28,4352.00,0.00,28.00
1488407891,2.25,16,0.28,1664.00,1924.00,12.00
1488407892,2.30,16,0.28,0.00,3884.00,34.00
1488407893,2.25,16,0.28,0.00,4528.00,4.00
1488407894,2.30,16,0.28,4480.00,260.00,30.00
1488407895,2.27,16,0.28,4224.00,0.00,26.00
1488407896,2.27,16,0.28,128.00,3580.00,20.00
1488407897,2.27,16,0.28,0.00,4212.00,12.00
1488407898,2.27,16,0.28,1920.00,3100.00,8.00
1488407899,2.25,16,0.28,3968.00,0.00,27.00
1488407900,2.27,16,0.28,2176.00,1536.00,12.00
1488407901,2.30,16,0.28,0.00,3916.00,36.00
1488407902,2.25,16,0.28,0.00,4196.00,4.00
1488407903,2.27,16,0.28,2176.00,944.00,15.00
1488407904,2.30,16,0.28,2944.00,0.00,17.00
1488407905,2.27,16,0.28,128.00,3076.00,9.00
1488407906,2.25,16,0.28,0.00,4116.00,27.00
1488407907,2.27,16,0.28,640.00,3448.00,9.00
1488407908,2.30,16,0.28,1920.00,0.00,15.00
1488407909,2.25,16,0.28,1152.00,1524.00,7.00
1488407910,2.27,16,0.28,0.00,4116.00,27.00
1488407911,2.30,16,0.28,0.00,4276.00,4.00
1488407912,2.25,16,0.28,2304.00,804.00,16.00
1488407913,2.30,16,0.28,3712.00,0.00,27.00
1488407914,2.27,16,0.28,0.00,3036.00,4.00
1488407915,2.25,16,0.28,0.00,3908.00,33.00
1488407916,2.27,16,0.28,640.00,3492.00,3.00
1488407917,2.27,16,0.28,2176.00,0.00,19.00
1488407918,2.27,16,0.28,1152.00,1576.00,9.00
1488407919,2.30,16,0.28,0.00,3964.00,32.00
1488407920,2.25,16,0.28,0.00,4192.00,4.00
1488407921,2.30,16,0.28,2176.00,964.00,16.00
1488407922,2.25,16,0.28,2944.00,0.00,21.00
1488407923,2.27,16,0.28,640.00,2736.00,10.00
1488407924,2.21,24,0.28,0.00,3836.00,33.00
1488407925,2.27,24,0.28,0.00,3756.00,0.00
1488407926,2.27,24,0.28,1920.00,236.00,15.00
1488407927,2.27,24,0.28,2304.00,0.00,18.00
1488407928,2.27,24,0.28,256.00,3196.00,14.00
1488407929,2.27,24,0.28,0.00,4048.00,21.00
1488407930,2.27,24,0.28,640.00,3348.00,6.00
1488407931,2.27,24,0.28,2816.00,0.00,18.00
1488407932,2.27,24,0.28,1920.00,864.00,16.00
1488407933,2.27,16,0.28,0.00,2604.00,9.00
1488407934,2.25,16,0.28,0.00,3940.00,3.00
1488407935,2.30,16,0.28,384.00,3240.00,3.00
1488407936,2.25,16,0.28,2432.00,0.00,18.00
1488407937,2.30,16,0.28,1024.00,1128.00,8.00
1488407938,2.27,16,0.28,0.00,3892.00,36.00
1488407939,2.27,16,0.28,0.00,4340.00,2.00
